"x","y","z"
-3,-3,-0.474947553312249
-2.92405063291139,-3,-0.475417567291629
-2.84810126582278,-3,-0.476378081222255
-2.77215189873418,-3,-0.477889713934142
-2.69620253164557,-3,-0.480008547445683
-2.62025316455696,-3,-0.482783951221421
-2.54430379746835,-3,-0.486256328355792
-2.46835443037975,-3,-0.490454850251004
-2.39240506329114,-3,-0.49539525477823
-2.31645569620253,-3,-0.501077789305131
-2.24050632911392,-3,-0.507485383835827
-2.16455696202532,-3,-0.514582140400144
-2.08860759493671,-3,-0.522312222395935
-2.0126582278481,-3,-0.530599221596326
-1.93670886075949,-3,-0.539346070888013
-1.86075949367089,-3,-0.548435557569375
-1.78481012658228,-3,-0.557731475440388
-1.70886075949367,-3,-0.567080434364867
-1.63291139240506,-3,-0.576314324053217
-1.55696202531646,-3,-0.585253405228804
-1.48101265822785,-3,-0.593709976963577
-1.40506329113924,-3,-0.60149254475952
-1.32911392405063,-3,-0.608410390934708
-1.25316455696203,-3,-0.614278428086045
-1.17721518987342,-3,-0.61892219885388
-1.10126582278481,-3,-0.622182871833791
-1.0253164556962,-3,-0.623922075064636
-0.949367088607595,-3,-0.624026405690576
-0.873417721518987,-3,-0.622411457554538
-0.79746835443038,-3,-0.619025217793333
-0.721518987341772,-3,-0.613850698868023
-0.645569620253164,-3,-0.606907693504116
-0.569620253164557,-3,-0.598253566097161
-0.493670886075949,-3,-0.587983024377994
-0.417721518987342,-3,-0.576226848434222
-0.341772151898734,-3,-0.563149589288833
-0.265822784810127,-3,-0.548946284768055
-0.189873417721519,-3,-0.533838274921468
-0.113924050632911,-3,-0.518068231373519
-0.0379746835443036,-3,-0.5018945433515
0.037974683544304,-3,-0.485585226557365
0.113924050632912,-3,-0.469411538535346
0.189873417721519,-3,-0.453641494987397
0.265822784810127,-3,-0.43853348514081
0.341772151898734,-3,-0.424330180620032
0.417721518987342,-3,-0.411252921474643
0.493670886075949,-3,-0.399496745530871
0.569620253164557,-3,-0.389226203811704
0.645569620253164,-3,-0.380572076404749
0.721518987341772,-3,-0.373629071040842
0.79746835443038,-3,-0.368454552115532
0.873417721518988,-3,-0.365068312354327
0.949367088607595,-3,-0.363453364218289
1.0253164556962,-3,-0.363557694844229
1.10126582278481,-3,-0.365296898075074
1.17721518987342,-3,-0.368557571054985
1.25316455696203,-3,-0.37320134182282
1.32911392405063,-3,-0.379069378974157
1.40506329113924,-3,-0.385987225149345
1.48101265822785,-3,-0.393769792945288
1.55696202531646,-3,-0.402226364680061
1.63291139240506,-3,-0.411165445855648
1.70886075949367,-3,-0.420399335543998
1.78481012658228,-3,-0.429748294468477
1.86075949367089,-3,-0.43904421233949
1.93670886075949,-3,-0.448133699020852
2.0126582278481,-3,-0.456880548312539
2.08860759493671,-3,-0.46516754751293
2.16455696202532,-3,-0.47289762950872
2.24050632911392,-3,-0.479994386073038
2.31645569620253,-3,-0.486401980603734
2.39240506329114,-3,-0.492084515130635
2.46835443037975,-3,-0.497024919657861
2.54430379746835,-3,-0.501223441553073
2.62025316455696,-3,-0.504695818687444
2.69620253164557,-3,-0.507471222463181
2.77215189873418,-3,-0.509590055974723
2.84810126582278,-3,-0.51110168868661
2.92405063291139,-3,-0.512062202617236
3,-3,-0.512532216596616
-3,-2.92405063291139,-0.478037745973561
-2.92405063291139,-2.92405063291139,-0.478552015766562
-2.84810126582278,-2.92405063291139,-0.479602970252916
-2.77215189873418,-2.92405063291139,-0.481256936041045
-2.69620253164557,-2.92405063291139,-0.483575275748352
-2.62025316455696,-2.92405063291139,-0.48661200739435
-2.54430379746835,-2.92405063291139,-0.490411338368447
-2.46835443037975,-2.92405063291139,-0.495005186808471
-2.39240506329114,-2.92405063291139,-0.500410772440015
-2.31645569620253,-2.92405063291139,-0.506628365922511
-2.24050632911392,-2.92405063291139,-0.513639289974784
-2.16455696202532,-2.92405063291139,-0.521404266527461
-2.08860759493671,-2.92405063291139,-0.529862201487407
-2.0126582278481,-2.92405063291139,-0.538929492143343
-1.93670886075949,-2.92405063291139,-0.548499931687688
-1.86075949367089,-2.92405063291139,-0.558445270846074
-1.78481012658228,-2.92405063291139,-0.568616478446311
-1.70886075949367,-2.92405063291139,-0.57884572136631
-1.63291139240506,-2.92405063291139,-0.588949060302937
-1.55696202531646,-2.92405063291139,-0.598729831997982
-1.48101265822785,-2.92405063291139,-0.607982661884623
-1.40506329113924,-2.92405063291139,-0.616498024629198
-1.32911392405063,-2.92405063291139,-0.624067244857978
-1.25316455696203,-2.92405063291139,-0.630487807614697
-1.17721518987342,-2.92405063291139,-0.635568828895538
-1.10126582278481,-2.92405063291139,-0.63913652196849
-1.0253164556962,-2.92405063291139,-0.641039485975422
-0.949367088607595,-2.92405063291139,-0.641153640217125
-0.873417721518987,-2.92405063291139,-0.639386630978965
-0.79746835443038,-2.92405063291139,-0.635681547944315
-0.721518987341772,-2.92405063291139,-0.630019804052966
-0.645569620253164,-2.92405063291139,-0.622423055683871
-0.569620253164557,-2.92405063291139,-0.612954068578304
-0.493670886075949,-2.92405063291139,-0.601716468005446
-0.417721518987342,-2.92405063291139,-0.588853348110435
-0.341772151898734,-2.92405063291139,-0.574544753794578
-0.265822784810127,-2.92405063291139,-0.559004087354238
-0.189873417721519,-2.92405063291139,-0.542473529887156
-0.113924050632911,-2.92405063291139,-0.52521860261514
-0.0379746835443036,-2.92405063291139,-0.507522024308829
0.037974683544304,-2.92405063291139,-0.489677046627985
0.113924050632912,-2.92405063291139,-0.471980468321674
0.189873417721519,-2.92405063291139,-0.454725541049658
0.265822784810127,-2.92405063291139,-0.438194983582576
0.341772151898734,-2.92405063291139,-0.422654317142236
0.417721518987342,-2.92405063291139,-0.408345722826379
0.493670886075949,-2.92405063291139,-0.395482602931368
0.569620253164557,-2.92405063291139,-0.38424500235851
0.645569620253164,-2.92405063291139,-0.374776015252942
0.721518987341772,-2.92405063291139,-0.367179266883848
0.79746835443038,-2.92405063291139,-0.361517522992499
0.873417721518988,-2.92405063291139,-0.357812439957849
0.949367088607595,-2.92405063291139,-0.356045430719689
