"gene","cluster","avg","pct"
"Gene1","C 1",2.10697888303548,77.3763890378177
"Gene2","C 1",0.308372018486261,15.4996303436346
"Gene3","C 1",1.26912376936525,54.0346991540864
"Gene4","C 1",1.55162732098252,72.7168132793158
"Gene5","C 1",0.335221845470369,23.9816374098882
"Gene6","C 1",1.62786787059158,27.9882581192069
"Gene7","C 1",0.676675390824676,59.458494041115
"Gene8","C 1",2.2531513992697,16.5811130381189
"Gene1","C 2",1.18632939960808,33.793941674754
"Gene2","C 2",2.18544701952487,60.7321715364233
"Gene3","C 2",2.1252345373854,21.1048686709255
"Gene4","C 2",1.79296438731253,64.1266366024502
"Gene5","C 2",1.6316994458437,32.0562332039699
"Gene6","C 2",1.04739754293114,69.1991439838894
"Gene7","C 2",0.303916541300714,88.2155620730482
"Gene8","C 2",1.11762857362628,47.2595269894227
"Gene1","C 3",1.53061939664185,15.4185044053011
"Gene2","C 3",1.99843243341893,68.8520040679723
"Gene3","C 3",0.797677532956004,36.692642764654
"Gene4","C 3",1.10896994750947,68.2656125244685
"Gene5","C 3",0.538151463493705,87.2618137272075
"Gene6","C 3",0.386377790756524,61.8799915905111
"Gene7","C 3",1.48135244231671,89.0824021669105
"Gene8","C 3",1.76209598481655,24.6143523948267
"Gene1","C 4",1.05518417842686,35.175732516218
"Gene2","C 4",0.367194073647261,58.048092007637
"Gene3","C 4",1.12569418288767,58.2357013220899
"Gene4","C 4",1.68488994445652,37.291851893533
"Gene5","C 4",0.934233980625868,37.9306981577538
"Gene6","C 4",1.83220107462257,64.7084741806611
"Gene7","C 4",0.893646486476064,35.4376131850295
"Gene8","C 4",1.63201975356787,32.9509273157455
"Gene1","C 5",0.48980919290334,42.7801184779964
"Gene2","C 5",0.313403703458607,23.4625981817953
"Gene3","C 5",2.38410664796829,25.4310991186649
"Gene4","C 5",1.97835906781256,33.1344823818654
"Gene5","C 5",2.27301093861461,26.2895500427112
"Gene6","C 5",0.433824805356562,90.3519554031081
"Gene7","C 5",2.25834897384048,53.6066078399308
"Gene8","C 5",1.86270720288157,28.7316219019704
"Gene1","C 6",0.878226735629141,43.5188452447765
"Gene2","C 6",2.27968583535403,24.668284711428
"Gene3","C 6",0.987410882115364,52.7694774027914
"Gene4","C 6",1.53705331031233,88.2502515064552
"Gene5","C 6",1.36592485699803,11.587539114058
"Gene6","C 6",1.45217778328806,80.9869656134397
"Gene7","C 6",0.605649793706834,65.3504360867664
"Gene8","C 6",2.04206049479544,67.7052540313452
