"from","to","weight","x","y","xend","yend"
"N6","N3",1.68253276911564,-1,1.22460635382238e-16,0.309016994374947,0.951056516295154
"N9","N6",0.403753841854632,0.309016994374947,-0.951056516295154,-1,1.22460635382238e-16
"N8","N9",0.453768935939297,-0.309016994374948,-0.951056516295154,0.309016994374947,-0.951056516295154
"N10","N6",1.37956318221986,0.809016994374947,-0.587785252292473,-1,1.22460635382238e-16
"N1","N5",0.58068393394351,1,0,-0.809016994374947,0.587785252292473
"N3","N1",0.825615825178102,0.309016994374947,0.951056516295154,1,0
"N4","N7",0.35861320248805,-0.309016994374947,0.951056516295154,-0.809016994374948,-0.587785252292473
"N1","N4",1.06558373961598,1,0,-0.309016994374947,0.951056516295154
"N5","N10",1.56457998948172,-0.809016994374947,0.587785252292473,0.809016994374947,-0.587785252292473
"N8","N4",0.756238016346469,-0.309016994374948,-0.951056516295154,-0.309016994374947,0.951056516295154
"N8","N9",0.928013179311529,-0.309016994374948,-0.951056516295154,0.309016994374947,-0.951056516295154
"N1","N6",0.773674795217812,1,0,-1,1.22460635382238e-16
"N3","N2",1.08717909455299,0.309016994374947,0.951056516295154,0.809016994374947,0.587785252292473
"N9","N4",0.997402897570282,0.309016994374947,-0.951056516295154,-0.309016994374947,0.951056516295154
"N7","N5",1.26767008313909,-0.809016994374948,-0.587785252292473,-0.809016994374947,0.587785252292473
"N8","N6",0.582462951820344,-0.309016994374948,-0.951056516295154,-1,1.22460635382238e-16
