"from","to","weight","x","y","xend","yend"
"N10","N3",1.68857570891269,0.809016994374947,-0.587785252292473,0.309016994374947,0.951056516295154
"N1","N8",1.63726342059672,1,0,-0.309016994374948,-0.951056516295154
"N9","N5",0.641043016547337,0.309016994374947,-0.951056516295154,-0.809016994374947,0.587785252292473
"N7","N9",1.26176198804751,-0.809016994374948,-0.587785252292473,0.309016994374947,-0.951056516295154
"N7","N4",1.81042474331334,-0.809016994374948,-0.587785252292473,-0.309016994374947,0.951056516295154
"N1","N5",1.25842187213711,1,0,-0.809016994374947,0.587785252292473
"N3","N2",1.65739344703034,0.309016994374947,0.951056516295154,0.809016994374947,0.587785252292473
"N10","N6",0.350020242994651,0.809016994374947,-0.587785252292473,-1,1.22460635382238e-16
"N1","N6",0.806917144916952,1,0,-1,1.22460635382238e-16
"N9","N1",1.24988104850054,0.309016994374947,-0.951056516295154,1,0
"N4","N1",0.606711860978976,-0.309016994374947,0.951056516295154,1,0
"N4","N7",0.916748263547197,-0.309016994374947,0.951056516295154,-0.809016994374948,-0.587785252292473
"N2","N4",0.970060960110277,0.809016994374947,0.587785252292473,-0.309016994374947,0.951056516295154
"N6","N7",1.09793872153386,-1,1.22460635382238e-16,-0.809016994374948,-0.587785252292473
"N4","N2",0.482632073154673,-0.309016994374947,0.951056516295154,0.809016994374947,0.587785252292473
