"rank","running_score"
1,-0.00391350954420412
2,0.0488418774561819
3,0.0338896681085037
4,-0.065743498099598
5,-0.0507801676862308
6,-0.0264810742638325
7,0.0162266027296454
8,0.0644957754156598
9,0.0518799961103681
10,0.0160397747891548
11,0.0112565064366057
12,-0.0376810457956693
13,-0.0032145271950076
14,0.021222697158106
15,0.025138013363859
16,0.0139000120123938
17,-0.0455320065152415
18,0.0111807174935071
19,0.0662042625289392
20,0.0389032427362197
21,0.0182055991310805
22,0.121254041296606
23,0.0781408760331848
24,0.105807886380101
25,0.120556290056754
26,0.19738247923421
27,0.209209611383563
28,0.166241027742164
29,0.127519629234378
30,0.083431158721747
31,0.0872487490889607
32,0.0999547309457588
33,0.123308734656422
34,0.109676583702481
35,0.157243408464458
36,0.156307435664065
37,0.118442964837264
38,0.033553568985189
39,0.0554988171607699
40,0.0372944321713186
41,0.0794311079844089
42,0.11693179236151
43,0.0398797978375271
44,0.0244404667827281
45,0.0742232927296122
46,0.0993226666260789
47,0.117327280800977
48,0.127554719128168
49,0.152614652849596
50,0.203587217961067
51,0.296902906906085
52,0.375244164467106
53,0.392725915833299
54,0.397679929706139
55,0.389479439222707
56,0.423972494436357
57,0.397486254806306
58,0.404379698413108
59,0.413121482358316
60,0.344301026896365
61,0.342970564875176
62,0.412955788928594
63,0.37300403999206
64,0.32573658710904
65,0.283812861417987
66,0.217826724962573
67,0.236583846055755
68,0.31261466391277
69,0.337927205418624
70,0.410232225418808
71,0.465343136661459
72,0.457682982305029
73,0.474627239874714
74,0.491603311674263
75,0.527691143698363
76,0.488610776081592
77,0.471009546072142
78,0.476699415573428
79,0.481161300882547
80,0.497718131255626
81,0.49073372640976
82,0.509503329240142
83,0.514269701412024
84,0.450895785588408
85,0.488951392872266
86,0.60238131525581
87,0.646012312190358
88,0.679226669632248
89,0.724143091733628
90,0.731831096660127
91,0.698538479412343
92,0.651820036135103
93,0.698815871316762
94,0.675566425837874
95,0.60904126934372
96,0.610496054395099
97,0.54646533626609
98,0.559738480520035
99,0.600118590478141
100,0.552587999111468
101,0.538788536516388
102,0.591172242247356
103,0.604270393087468
104,0.544514450196682
105,0.517131516240247
106,0.518182047493366
107,0.513784220425887
108,0.578239050497616
109,0.559772069841952
110,0.548704210708876
111,0.507478437176687
112,0.517236151300762
113,0.565365101669254
114,0.584765062362241
115,0.58909221023686
116,0.556523379899906
117,0.525013981297182
118,0.544246817182686
119,0.567951512548893
120,0.60432964116525
121,0.618622584739205
122,0.617674987869233
123,0.658602006721254
124,0.617465054057922
125,0.573569610625287
126,0.537281785148065
127,0.52181037333402
128,0.508859387967022
129,0.487134018265213
130,0.535168033991344
131,0.599492547176453
132,0.672497210406796
133,0.636102405573744
134,0.70338164821031
135,0.62926282611878
136,0.593940707330199
137,0.590381279002621
138,0.645244002121401
139,0.718100120905032
140,0.725169842544127
141,0.764764214799723
142,0.776267546506649
143,0.750676696989895
144,0.685345621003528
145,0.667304365045766
146,0.593828315841241
147,0.558446367601972
148,0.562225548052059
149,0.590114852908484
150,0.606266906171926
151,0.588135819105115
152,0.61245596969723
153,0.624831700235492
154,0.68019140014151
155,0.721450697483769
156,0.734468382606624
157,0.736509073727893
158,0.7262860805956
159,0.717758397595783
160,0.75935002191856
161,0.76734645081644
162,0.773370349674329
163,0.778066829589649
164,0.808800858594506
165,0.769528427096464
166,0.80071139887683
167,0.88202893293236
168,0.917012581615307
169,0.883222198264955
170,0.888990220136144
171,0.928272767092236
172,0.901111543201029
173,1.00780670004725
174,0.982901434167927
175,0.934273867039284
176,0.863896751670727
177,0.848891786018229
178,0.859908070255411
179,0.824294430440056
180,0.793830973770119
181,0.80092475818867
182,0.785821675102293
183,0.708532791993462
184,0.676993105344378
185,0.771425802139145
186,0.758108873323101
187,0.722905289137033
188,0.749848758155571
189,0.890196427872273
190,0.951596034015607
191,0.937416107910049
192,0.956654237949147
193,0.89957786757247
194,0.909436286227264
195,0.972271715608937
196,0.957048625075457
197,0.954137269446012
198,0.986843308067506
199,1.00412347370363
200,1.00251598592847
201,1.03086117058633
202,1.00983234496465
203,1.05577561763155
204,1.02444791685013
205,0.981452360901776
206,1.01504410325528
207,1.09166543392689
208,1.0825509713807
209,1.06732211120648
210,1.04350214202542
211,1.06831626298429
212,0.987118967146292
213,0.921874680232802
214,0.890939535381394
215,0.891596994042642
216,0.878047331604046
217,0.823008532539344
218,0.834029044086341
219,0.860202397756842
220,0.860956985483852
221,0.858582647170684
222,0.818179120087977
223,0.8501110359493
224,0.900824554755515
225,0.825534777971947
226,0.765246538034997
227,0.754637659440196
228,0.811472087876726
229,0.765090345594289
230,0.861440893493407
231,0.82989197506117
232,0.801278843546923
233,0.818253253855104
234,0.814274176610745
235,0.769517408478459
236,0.800155865477846
237,0.809935454155706
238,0.81672260831416
239,0.835434732563126
240,0.750800551491705
