"cluster","cx","cy","x","y","expr","pseudotime"
"Cluster 1",-3,1.8,-3.30212010391409,1.44074587836849,2.64068906994227,0.286840218305093
"Cluster 1",-3,1.8,-3.26931494278635,2.01674363429032,0.956695375554353,0.383858288669346
"Cluster 1",-3,1.8,-2.80896949844522,2.40345050692958,1.53657272560397,0.509249149304365
"Cluster 1",-3,1.8,-3.10020828468463,2.37404007285675,0.897539288307965,0.439458034198608
"Cluster 1",-3,1.8,-3.38586844183567,1.97795205569963,1.10418233926848,0.376165180660593
"Cluster 1",-3,1.8,-2.86712409852417,1.89619185258272,0,0.358285667950427
"Cluster 1",-3,1.8,-3.30192188734017,2.08668970110202,0.198355204735992,0.369926366149267
"Cluster 1",-3,1.8,-2.6804179817735,1.72422236713521,0.513912217823443,0.361906723464167
"Cluster 1",-3,1.8,-2.37610516012866,1.30938031371896,0.618261376953042,0.425922942897022
"Cluster 1",-3,1.8,-3.37993222083306,1.70146922373884,0.463015464933514,0.300991387181914
"Cluster 1",-3,1.8,-2.18537640858996,1.16086092392479,0.82327001154373,0.391460032620358
"Cluster 1",-3,1.8,-3.17909184484064,2.01859017233153,0,0.403500961117936
"Cluster 1",-3,1.8,-3.06038136345161,1.57912099478224,1.78329274407303,0.413808619916624
"Cluster 1",-3,1.8,-2.69507240716847,1.91783734623494,1.1962317643574,0.397379248989998
"Cluster 1",-3,1.8,-3.28949647414236,1.78686053691939,1.63473424388586,0.372975454757835
"Cluster 1",-3,1.8,-2.47671060947039,1.34296673242956,0.758619697822334,0.314370897134502
"Cluster 1",-3,1.8,-2.62368511283381,2.32572468349905,0,0.463571052847906
"Cluster 1",-3,1.8,-3.43895009116693,1.73563644099259,0.275130058349569,0.372273883299006
"Cluster 1",-3,1.8,-2.57929049784056,1.53662538071692,0,0.37608621548785
"Cluster 1",-3,1.8,-2.95486725836121,1.56821268577457,0.444146032204219,0.341327699891163
"Cluster 1",-3,1.8,-1.98667073903901,1.55316695553164,0.990172528959928,0.443212139486164
