"x","y","value","class"
1,1,1.08799228462587,"Stroma"
2,1,1.7790485794477,"Immune"
3,1,1.95284289533937,"Blank"
4,1,2.17209754469621,"Blank"
5,1,1.55094979002105,"Stroma"
6,1,1.38014166648571,"Stroma"
7,1,0.576072340445923,"Blank"
8,1,0.252771296622326,"Immune"
9,1,-0.25776637785547,"Immune"
10,1,0.0121744283441037,"Stroma"
11,1,0.0225187016627387,"Blank"
12,1,0.545835257888352,"Immune"
13,1,1.05426983974254,"Immune"
14,1,1.47352078297567,"Immune"
15,1,1.87166692874205,"Tumor"
16,1,2.02823817421751,"Immune"
17,1,1.62520700138924,"Tumor"
18,1,1.54433694493088,"Blank"
1,2,0.885032178732712,"Blank"
2,2,1.2688131397987,"Immune"
3,2,1.58460010270754,"Blank"
4,2,1.57467236386544,"Immune"
5,2,0.960452945469776,"Tumor"
6,2,0.679372789723661,"Tumor"
7,2,0.0526078746282677,"Immune"
8,2,-0.374561953606068,"Immune"
9,2,-0.572708955128001,"Tumor"
10,2,-0.486463239523867,"Tumor"
11,2,-0.237188746069897,"Blank"
12,2,0.0913912525523421,"Immune"
13,2,0.751227223449,"Blank"
14,2,0.831964172826462,"Tumor"
15,2,1.78165114600172,"Tumor"
16,2,1.21794779162166,"Blank"
17,2,1.26782441431604,"Stroma"
18,2,1.12872657520203,"Stroma"
1,3,0.623001168143192,"Blank"
2,3,0.783311467681945,"Tumor"
3,3,1.10274542839402,"Tumor"
4,3,0.7702991102154,"Stroma"
5,3,0.713779643259137,"Tumor"
6,3,0.167691053699214,"Tumor"
7,3,0.00017539989870996,"Tumor"
8,3,-0.71537413070677,"Stroma"
9,3,-1.26062996219705,"Stroma"
10,3,-1.06517901780075,"Stroma"
11,3,-0.71698777702314,"Blank"
12,3,-0.280665583380965,"Tumor"
13,3,0.544660586013803,"Immune"
14,3,0.486046983965922,"Immune"
15,3,0.823841277855634,"Blank"
16,3,1.37356313701101,"Blank"
17,3,0.721837743702706,"Tumor"
18,3,0.363862304810105,"Immune"
1,4,-0.012515680837687,"Immune"
2,4,0.375210914936981,"Tumor"
3,4,0.608327520294495,"Blank"
4,4,0.550095187152588,"Blank"
5,4,0.256810378095162,"Blank"
6,4,-0.261916468177223,"Blank"
7,4,-0.60437894027971,"Blank"
8,4,-1.0979096990944,"Blank"
9,4,-1.41315725273429,"Immune"
10,4,-1.60672071834831,"Immune"
11,4,-1.17577068134562,"Stroma"
12,4,-0.75357375829171,"Tumor"
13,4,-0.201190991858222,"Stroma"
14,4,0.140092211930986,"Stroma"
15,4,0.282611987384245,"Immune"
16,4,0.689237070696745,"Blank"
17,4,0.238724809522233,"Stroma"
18,4,-0.237195054719442,"Tumor"
1,5,-0.342733032730119,"Immune"
2,5,0.0370973846483451,"Tumor"
3,5,-0.133925626420284,"Tumor"
4,5,0.202920364046031,"Stroma"
5,5,-0.165210847654672,"Immune"
6,5,-0.734999740907782,"Immune"
7,5,-1.3491492804943,"Stroma"
8,5,-1.50682792688003,"Tumor"
9,5,-1.6499486999709,"Stroma"
10,5,-1.67765394906613,"Tumor"
11,5,-1.58003559982407,"Blank"
12,5,-1.25930912683161,"Blank"
13,5,-0.529720043370099,"Blank"
14,5,-0.234434525897725,"Immune"
15,5,0.312997164107401,"Blank"
16,5,0.205289111025581,"Blank"
17,5,-0.030109032183461,"Blank"
18,5,-0.730660679987295,"Tumor"
1,6,-0.761552725780966,"Stroma"
2,6,-0.390396342971278,"Stroma"
3,6,0.0900038088426998,"Immune"
4,6,-0.194156446047789,"Tumor"
5,6,-0.730940775553914,"Tumor"
6,6,-0.913716854275126,"Immune"
7,6,-1.29313145310485,"Immune"
8,6,-1.76773436740021,"Blank"
9,6,-2.04622670669791,"Immune"
10,6,-2.13670677980716,"Stroma"
11,6,-1.88859999970349,"Stroma"
12,6,-1.29657986536856,"Tumor"
13,6,-0.577135546087377,"Stroma"
14,6,-0.588255431036613,"Tumor"
15,6,-0.207088148293361,"Immune"
16,6,-0.0601852838892184,"Immune"
17,6,-0.41384150221013,"Blank"
18,6,-0.475873391169272,"Stroma"
1,7,-0.242780239855697,"Stroma"
2,7,-0.190210465774085,"Immune"
3,7,0.342423180972694,"Immune"
4,7,0.0883055052929988,"Stroma"
5,7,-0.111757882774286,"Stroma"
6,7,-0.844629346494439,"Immune"
7,7,-1.30752113179325,"Blank"
8,7,-1.85176494461586,"Immune"
9,7,-1.74711626706191,"Tumor"
10,7,-2.1001632167095,"Blank"
11,7,-1.96152298345074,"Immune"
12,7,-1.03335470104671,"Stroma"
13,7,-0.6343472037757,"Immune"
14,7,-0.370746440873184,"Blank"
15,7,-0.0227326925733425,"Immune"
16,7,-0.102410750254702,"Blank"
17,7,0.202259491280491,"Stroma"
18,7,-0.753505268084131,"Immune"
1,8,-0.359530078638021,"Blank"
2,8,0.122745809328614,"Stroma"
3,8,0.612586145310749,"Tumor"
4,8,0.459974197830843,"Tumor"
5,8,-0.175927083990589,"Stroma"
6,8,-0.802630279269232,"Blank"
7,8,-1.2362142769493,"Tumor"
8,8,-1.20303271633378,"Tumor"
9,8,-1.93572335065433,"Tumor"
10,8,-1.78780082815511,"Tumor"
11,8,-1.5694248108516,"Tumor"
12,8,-0.958458695510352,"Stroma"
13,8,-0.326923202816052,"Immune"
14,8,-0.0628176499760145,"Blank"
15,8,0.271862875290566,"Blank"
16,8,0.393706823538528,"Stroma"
17,8,0.195433251279073,"Tumor"
18,8,-0.0697509758920485,"Tumor"
1,9,0.170401182588197,"Tumor"
2,9,0.542982703530811,"Immune"
3,9,0.767545684467386,"Blank"
4,9,0.473878171150373,"Stroma"
5,9,0.281008194359358,"Tumor"
6,9,-0.199599177919639,"Tumor"
7,9,-0.669699728042426,"Blank"
8,9,-0.489033011953162,"Stroma"
9,9,-0.804532526239094,"Blank"
10,9,-1.08312491307432,"Tumor"
11,9,-1.21511172971944,"Stroma"
12,9,-0.422795658733555,"Tumor"
13,9,-0.218609016251557,"Blank"
14,9,0.609398166948037,"Immune"
15,9,0.645472260080757,"Blank"
16,9,0.722196024690259,"Blank"
17,9,0.789663941785629,"Blank"
18,9,0.363417383584278,"Immune"
1,10,0.819483200362623,"Stroma"
2,10,0.978138910396535,"Tumor"
3,10,1.3882605831588,"Stroma"
4,10,1.57339833704105,"Blank"
5,10,0.911394347764308,"Blank"
6,10,0.392611641423672,"Tumor"
7,10,-0.0363495882504532,"Immune"
8,10,-0.369132541584774,"Blank"
9,10,-0.834126313550393,"Stroma"
10,10,-0.832312034814174,"Stroma"
11,10,-0.515596605152026,"Tumor"
12,10,0.0826838999313562,"Tumor"
13,10,0.529230629451178,"Stroma"
14,10,1.08353865754729,"Immune"
15,10,1.12464953613815,"Blank"
16,10,1.01904197326393,"Tumor"
17,10,0.95575460440897,"Immune"
18,10,0.815192347822146,"Tumor"
1,11,1.54500351121333,"Stroma"
2,11,1.35989926109371,"Blank"
3,11,1.7466430958513,"Blank"
4,11,1.61751918170465,"Blank"
5,11,1.23262169204276,"Immune"
6,11,0.852410093443682,"Immune"
7,11,0.101216490851161,"Stroma"
8,11,0.0697226098426796,"Stroma"
9,11,-0.0939480828077626,"Stroma"
10,11,0.0122060023018282,"Blank"
11,11,-0.0944718210696977,"Immune"
12,11,0.200582149918183,"Immune"
13,11,0.992258112259021,"Immune"
14,11,1.35409189976812,"Immune"
15,11,1.65725494375701,"Stroma"
16,11,1.87570554400355,"Immune"
17,11,1.54355463843612,"Immune"
18,11,1.11709438696266,"Stroma"
1,12,1.38076890918502,"Stroma"
2,12,1.68813440736516,"Stroma"
3,12,2.16579655018479,"Immune"
4,12,1.9768756305132,"Stroma"
5,12,1.40113028539847,"Immune"
6,12,1.14777224963992,"Blank"
7,12,0.568030478164183,"Tumor"
8,12,0.305788432366566,"Blank"
9,12,-0.0393683445146045,"Stroma"
10,12,0.0180470984718738,"Immune"
11,12,0.342821689643063,"Blank"
12,12,0.7659309699039,"Immune"
13,12,1.40678496952174,"Stroma"
14,12,1.89843697048947,"Tumor"
15,12,1.95375728921413,"Tumor"
16,12,1.66666748186512,"Blank"
17,12,1.83843548100003,"Tumor"
18,12,1.48586022726215,"Immune"
